ID;Active (0/1);Name *;Categories (x,y,z...);Cost price;Description;Image URLs (x,y,z...)
11;1;Barbie Fashionistas, Stylowa garderoba, zestaw akcesoriów dla lalki;Lalki/Meble dla lalek;64.99;Zestaw do zabawy z szafą na ubranka Barbie to skarbnica stylu! Szafa na ubranka Barbie ma uchwyt, dzięki któremu łatwo ją przenosić. Ta różowa szafa ma półprzezroczyste podwójne drzwi, dzięki czemu można zobaczyć, co jest w środku! Na wyciąganym dużym wieszaku można powiesić ubranka do zabawy w przebieranki! Półki ułatwiają przechowywanie i eksponowanie akcesoriów Wygodny uchwyt ułatwia przenoszenie! W zestawie znajdują się wieszaki, ubrania nie są elementem zestawu (sprzedawane oddzielnie) W zestawie nie znajduje się lalka (sprzedawana oddzielnie) Wiek dziecka:  od 3 lat.  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-fashionistas-stylowa-garderoba-zestaw-akcesoriow-dla-lalki-6493066.jpg
12;1;Mega Creative, lalka, 25 cm;Lalki/Księżniczki i wróżki;34.49;Lalka Mega Creative to niezbędna zabawka w kolekcji każdej młodej damy. Występuje w trzech różnych sukienkach. Bez wątpienia czas spędzony z nią będzie czystą przyjemnością Baw się ze mną, będziesz szczęśliwsza piękna. Zawartość zestawu:  Lalka w ubranku. Zabawka wykonana z plastiku, sztucznego włosia oraz materiału. Wymiary produktu dł. x wys. x gł. cm:  11x25x6. Wymiar opakowania dł. x wys. x gł. cm:  12x28x7. Waga produktu bez opakowania kg:  0,15 kg. Waga produktu w opakowaniu kg:  0,20 kg. Nie wymaga zasilania bateriami. Zabawka przeznaczona dla dzieci w wieku:  3+. Uwaga! Produkt wysyłany losowo.  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/mega-creative-lalka-25-cm-6970816.jpg
13;1;Mega Creative, lalka, 29 cm;Lalki/Lalki celebrytki;23.99;Zalety produktu:  Lalka Mega Creative to niezbędna zabawka w kolekcji każdej młodej damy. Bez wątpienia czas spędzony z nią będzie czystą przyjemnością. Zabawka wykonana z plastiku, sztucznego włosia oraz materiału. Produkt przeznaczony dla dzieci w wieku:  3. Wymiary lalki:  29cm.Wymiary opakowania (cm):  8 x 32 x 4,5. Waga opakowania kg. 0,13 kg.  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/mega-creative-lalka-29-cm-7339233.jpg
14;1;Evi Love, księżniczka w lodowej karecie, lalka;Lalki/Księżniczki i wróżki;48.99;Laleczka Evi księżniczka w lodowej karecie to zdumiewająca postać w zestawie z powozem i koniem. Laleczka ubrana w subtelną, błękitną suknię, która zachwyci wszystkich na lalkowym balu. Przy jej boku jest również wierny rumak, który ma piękną grzywę w dopasowanym do sukni kolorze, ze spinkami. Wysokość lalki wynosi:  12 cm. Wymiary opakowania:  28x16x9 cm. Wiek:  3+.  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/evi-love-ksiezniczka-w-lodowej-karecie-lalka-7142826.jpg
15;1;Ciuciubabka, lalka, wróżka ze świecącymi skrzydłami;Lalki/Księżniczki i wróżki;63.99;Lalka wróżka ze świecącymi skrzydłami. W kolorowym opakowaniu, które przyciągnie uwagę dziewczynek, umieszczono lalkę ubraną w modną stylizację suknia z elementami tiulu i koronki. Na twarzy bajkowej postaci znajduje się delikatny makijaż. Jej blond włosy są upięte. Obecna jest również kokardka. Po naciśnięciu na serduszko umieszczone na zabawce skrzydełka zaczynają świecić. Do zestawu dołączono akcesoria. Są to buty baleriny. Baterie w zestawie. Zabawka działa po wyjęciu zabezpieczenia baterii. Wymiary opakowania:  24x8x32 cm. Wiek:  3+. Uwaga:  produkt wysyłany losowo.  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/ciuciubabka-lalka-wrozka-ze-swiecacymi-skrzydlami-7361850.jpg
16;1;Mega Creative, lalka z akcesoriami, 29 cm;Lalki/Księżniczki i wróżki;22.49;Każda mała dziewczynka w swojej kolekcji zabawek musi posiadać lalkę stworzoną na wzór lalek Barbie. Ten zestaw z lalką w sukience Mega Creative to idealne rozwiązanie na spędzenie wspólnego czasu ze swoją pociechą. Lalka 29 cm posiada długi warkocz, ubrana jest w biało-fioletową sukienkę w grochy. Dodatkowo do lalki dołączona jest kolejna sukienka oraz różowe buty na obcasach. Lalka wykonana z plastiku oraz materiału. Przeznaczona dla dzieci od lat:  3+ Wymiary opakowania dł. x wys. x gł. cm 13x33x4.  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/mega-creative-lalka-z-akcesoriami-29-cm-6971417.jpg
17;1;Barbie, Dreamhouse Adventures, Wymarzony samolot, zestaw z lalką;Lalki/Akcesoria dla lalek;259.99;"Wymarzony samolot Barbie inspirowany serialem Barbie Dreamhouse Adventures zachęca dzieci do odkrywania swoich marzeń i świata wokół. W zestawie:  lalka pilotka samolot wózek z przekąskami figurka szczeniaczka dodatkowe akcesoria Cechy zestawu:  samolot mieści lalkę pilotkę oraz 2 pasażerów fotele przesuwają się oraz odchylają do tyłu w siedzeniach znajdują się ""ekrany"" oraz schowki wózek ma miejsce na przekąski oraz tace do serwowania Informacje dodatkowe:  lalka nie stoi samodzielnie dodatkowe lalki sprzedawane oddzielnie kolory i elementy mogą się różnić wiek dziecka:  od 3 lat  ";https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-dreamhouse-adventures-wymarzony-samolot-zestaw-z-lalka-6989676.jpg
18;1;Rainbow High, Cheer Doll, Jade Hunter, lalka modowa;Lalki/Lalki celebrytki;79.99;Legenda głosi, że na końcu tęczy znajduje się garnek złota. Ale prawda jest taka, że to coś jeszcze bardziej niesamowitego. Tylko nieliczni, którzy znają się na modzie, mogą podążać za tęczą do Rainbow High, kolorowej szkoły mody, w której każdy uczy się pokazywać swoje prawdziwe kolory. Przedstawiamy Jade Hunter w zupełnie innym stylu! Jest teraz cheerleaderką i dopinguje drużynę swojej szkoły! Jej kolor to zielony! Laleczka ma wspaniałe rysy twarzy, długie rzęsy i piękne włosy, które można rozczesać. Jest w pełni ruchoma, jej ramiona i nogi zginają się, więc może przybrać mnóstwo efektownych poz. Jej stylizację dopełnia kucyk z uroczą kokardką i spinką. Jade ma również pompony, więc może stylowo dopingować drużynę Rainbow High! Zestaw zawiera:  modną lalkę Jade Hunter w stroju cheerleaderk, 1 parę butów, skarpetki, pompony, grzebień do włosów. Rada:  Podczas pierwszego rozpakowywania lalki dokładnie umyj jej włosy, aby usunąć żel do stylizacji i pozwól włosom całkowicie wyschnąć. Następnie jej włosy są gotowe do wyszczotkowania. Zbierz kolekcję pięknych lalek z Rainbow High! Wysokość lalki:  ok. 28 cm.  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-cheer-doll-jade-hunter-lalka-modowa-6867765.jpg
19;1;Barbie, Dreamtopia, syrenka ze światełkami, lalka;Lalki/Lalki celebrytki;109.99;Lalka syrenka z kolekcji Barbie Dreamtopia  niezwykły wygląd i migoczące światełka zanurz syrenkę w wodzie i zachwyć się podświetlanym ogonem naciśnij gorset lalki, aby zobaczyć światełka również bez zanurzania w wodzie lalka ma tęczową płetwę, gorset z perełkami, różowe pasemka we włosach i tiarę księżniczki baterie AG13 w zestawie Wiek:  od 3 lat  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-dreamtopia-syrenka-ze-swiatelkami-lalka-7102350.jpg
20;1;Simba, New Born Baby, magiczne butelki;Lalki/Akcesoria dla lalek;22.49;Magiczne butelki Zestaw 2 butelek ze znikającą zawartością - 1 z mlekiem i 1 z sokiem. Szczegóły:  wymiary butelki:  12 cm wymiary opakowania:  15x3,5x7,5 cm wiek:  3  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/simba-new-born-baby-magiczne-butelki-7098390.jpg
21;1;Goki, akcesoria do salonu i sypialni, 17 elementów;Lalki/Meble dla lalek;37.49;Telewizor, lampa i wiele innych akcesoriów.  Wysokość lampy:  10 cm  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/goki-akcesoria-do-salonu-i-sypialni-17-elementow-5963366.jpg
22;1;L.O.L. Surprise, Loves Mini Sweets Dolls, mini laleczka;Lalki/Mini lalki i zwierzaki;39.99;"Przedstawiamy LOL Surprise Loves Mini Sweets Dolls! LOL Surprise nawiązała współpracę z kultowymi markami cukierków, aby dostarczyć Ci LOL Surprise Loves Mini Sweets! Twoje ulubione smakołyki są teraz Twoimi ulubionymi lalkami!  Znajdź postacie z Jolly Rancher, Hot Tamales, Hershey's Kisses, Smarties, Whoppers, Mike &amp; Ikes, Chupa Chups, Dum Dums, Pez i Peeps. Te kulki są tak słodkie, jak to tylko możliwe i uwielbiają się bawić. Każda lalka zawiera strój, buty, butelkę, torebkę, akcesoria i naklejkę.  Nakarm lub wykąp Mini Sweet, aby uzyskać niespodziankę wodną!  Czy kolor twojej lalki zmieni się w zimnej lub ciepłej wodzie? Czy będzie płakać, pluć lub dzwonić? Zbierz wszystkie 12 nowych lalek LOL Surprise Loves Mini Sweets i uzupełnij swoją kolekcję cukierków!  Uwaga. Produkt w wielu wariantach. Wysyłka losowa.  ";https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/lol-surprise-loves-mini-sweets-dolls-mini-laleczka-7237252.jpg
23;1;Smiki, Julia, lalka interaktywna z akcesoriami, 30 cm;Lalki/Bobasy;89.99;Lalka Julia to spełnienie marzeń każdej dziewczynki, która chce poczuć się jak mama. Interaktywną lalę marki Smiki można przebierać, karmić i przytulać. Zabawa gwarantuje dziecku kreatywny czas i rozwija zdolności opiekuńcze. Lalka ma 3 akcesoria:  butelkę, poduszkę i 2 grzechotki. Lalka ubrana jest w różowe body i czapkę (czapka połączona z body). Lalka płacze gdy jest głodna. Po położeniu lalka zamyka oczy i kładzie się do snu. Informacje podstawowe:  Wymiary:  ok. 30 cm. Wiek:  od 2 lat. Lalka działa na baterie. Produkt spełnia normy bezpieczeństwa EN 71.  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/smiki-julia-lalka-interaktywna-z-akcesoriami-30-cm-6622689.jpg
24;1;Klein, Barbie, szafa-garderoba w walizce;Lalki/Meble dla lalek;120.99;Metalowa walizka w formie szafy-garderoby Barbie została stworzona przez popularną i docenianą za jakość produktów niemiecką markę Klein. Zabawka pochodzi z serii Barbie Dreamhouse Adventures. Puszka jest w kolorze różowym z ozdobną komiksową grafiką przedstawiającą Barbie wraz z przyjaciółmi.  Została wykonana z metalu, posiada plastikową rączkę oraz metalowy zamek, który zabezpiecza ją przed przypadkowym otwieraniem się. W środku walizki znajduje się miejsce na 2 lalki oraz ubrania, które można zawiesić na 12 dołączonych wieszakach. Puszka pozwoli dzieciom na wygodne przechowywanie i przenoszenie ulubionych lalek. Dzięki niej dziecko będzie mogło wszędzie zabrać ze sobą swoje zabawki. Walizka została wykonana z wysokiej jakości materiałów, dzięki czemu będzie służyć przez długi czas. walizka do przechowywania do 2 lalek oraz akcesorium, puszka wykonana z metalu, wymiary puszki:  32 x 16x13,5 cm, wygodna rączka do transportowania, wymiary opakowania są tożsame z wymiarami puszki, zabawka przeznaczona dla dzieci od 3. roku życia, UWAGA:  zestaw NIE zawiera lalek ani ubranek.  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/klein-barbie-szafa-garderoba-w-walizce-6599746.jpg
25;1;Mega Creative, wanienka, ręcznik, szczotka do zębów, pielucha, nocnik, akcesoria;Lalki/Akcesoria dla lalek;23.99;Zalety produktu:  rozwijanie wyobraźni, nauka samodzielności i opieki nad drugą osobą, nauka dbania o higienę. Zestaw do kąpieli Mega Creative jest idealny dla każdej dziewczynki lubiącej wcielać się w rolę mamy, która opiekuje się swoim maleństwem. Występuje w dwóch kolorach niebieskim i różowym. Wysyłka losowa. Może wykąpać swojego dzidzusia lub misia, a po kąpieli obowiązkowo trzeba wyszczotkować ząbki. Zawartość zestawu:  wanienka, ręcznik, szczotka do zębów, pielucha, nocnik, pudełko z chusteczkami higienicznymi. Wymiary/waga/baterie:  wymiary produktu dł. x wys. x gł. cm:  27x5x15, wymiary produktu w opakowaniu dł. x wys. x gł. cm:  35x5x19 waga produktu bez opakowania kg:  0,11,waga produktu w opakowaniu kg:  0,13, nie wymaga zasilania bateriami. Pakowana w woreczek z eurozawieszką.  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/mega-creative-wanienka-recznik-szczotka-do-zebow-pielucha-nocnik-akcesoria-6971023.jpg
