Active (0/1);Name *;Categories (x,y,z...);Price with tax;Price without tax;Description;Quantity;Image URLs (x,y,z...)
1;L.O.L. Surprise, Tweens, Emma Emo, lalka modowa;Lalki/Lalki celebrytki;94.99;77.86;Przedstawiamy L.O.L. Surprise! Tweens! Te charakterne be tweens są dostępne z niespodziankami i wyjątkowym opakowaniem. 4 nowe postaci do zebrania:  Chloe Pepper, Marilyn Star, Emma Emo i Nia Regal W opakowaniu 15 niespodzianek Opakowaniem można się bawić Pudełko z okienkiem  ;500;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/lol-surprise-tweens-emma-emo-lalka-modowa-7295591.jpg
1;Barbie, Baśniowa fryzura, lalka z akcesoriami;Lalki/Lalki celebrytki;89.99;73.76;Jednorożec czy syrenka? Lalka Barbie Baśniowa fryzura uwielbia magiczną przemianę – ma dwie fantazyjne stylizacje, z których każda zawiera kolorową opaskę z pasemkami włosów, dobraną tematycznie koszulkę i akcesoria.  Transformacja w syrenkę lub jednorożca zajmuje tylko chwilę!  Załóż koszulkę z grafiką jednorożca lub syrenki, a potem pasującą do niej opaskę.  Kolorowe pasemka przyczepione do opaski nadają jeszcze więcej barw włosom Barbie z odcieniami różu i błękitu oraz błyszczącymi kosmykami.  Wymyśl bajkową fryzurę, upinając długie, kolorowe, błyszczące włosy lalki Barbie za pomocą dołączonych do zestawu gumek do włosów i 2 spinek.Wow! Co za efekt!  Dzieci pokochają przemianę lalki Barbie. W zestawie:   lalka Barbie w ubranku,  dwie opaski z pasemkami włosów,  dwie koszulki z nadrukiem,  druga para bucików,  gumki do włosów,  dwie spinki.  szczotka do włosów. Informacje dodatkowe:   Lalka nie stoi samodzielnie.  Kolory i elementy dekoracyjne mogą się różnić.  Wiek dziecka:  od 3 lat.  ;500;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-basniowa-fryzura-lalka-z-akcesoriami-6730218.jpg
1;Barbie Dreamtopia, Księżniczka, Zakręcone Pasemka, lalka;Lalki/Lalki celebrytki;77.99;63.93;Mali styliści mogą tworzyć swoje wymarzone stylizacje dzięki lalce księżniczce Barbie Dreamtopia Zakręcone pasemka Lalka księżniczka Barbie ma bardzo długie włosy ok. 21 cm. Rozczesz włosy Barbie, a potem umieść dwa lub trzy zaczepy w specjalnym przyrządzie do stylizacji i twórz fantastyczne fryzury jednym naciśnięciem przycisku. Uzupełnij wygląd księżniczki Barbie kolorowymi spinkami i tiarą, a potem ruszaj ku magicznym przygodom. Lalka nie stoi samodzielnie. Kolory i elementy dekoracyjne mogą się różnić. Lalka księżniczka Barbie Dreamtopia Zakręcone pasemka daje tak wiele możliwości tworzenia opowieści i stylizacji, że stanowi wspaniały prezent dla miłośników baśni w wieku 3 lat i starszych.  ;500;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-dreamtopia-ksiezniczka-zakrecone-pasemka-lalka-7013917.jpg
1;Rainbow High, Cheer Doll, Jade Hunter, lalka modowa;Lalki/Lalki celebrytki;79.99;65.57;Legenda głosi, że na końcu tęczy znajduje się garnek złota. Ale prawda jest taka, że to coś jeszcze bardziej niesamowitego. Tylko nieliczni, którzy znają się na modzie, mogą podążać za tęczą do Rainbow High, kolorowej szkoły mody, w której każdy uczy się pokazywać swoje prawdziwe kolory. Przedstawiamy Jade Hunter w zupełnie innym stylu! Jest teraz cheerleaderką i dopinguje drużynę swojej szkoły! Jej kolor to zielony! Laleczka ma wspaniałe rysy twarzy, długie rzęsy i piękne włosy, które można rozczesać. Jest w pełni ruchoma, jej ramiona i nogi zginają się, więc może przybrać mnóstwo efektownych poz. Jej stylizację dopełnia kucyk z uroczą kokardką i spinką. Jade ma również pompony, więc może stylowo dopingować drużynę Rainbow High! Zestaw zawiera:  modną lalkę Jade Hunter w stroju cheerleaderk, 1 parę butów, skarpetki, pompony, grzebień do włosów. Rada:  Podczas pierwszego rozpakowywania lalki dokładnie umyj jej włosy, aby usunąć żel do stylizacji i pozwól włosom całkowicie wyschnąć. Następnie jej włosy są gotowe do wyszczotkowania. Zbierz kolekcję pięknych lalek z Rainbow High! Wysokość lalki:  ok. 28 cm.  ;500;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-cheer-doll-jade-hunter-lalka-modowa-6867765.jpg
1;Barbie, Kemping, Skipper i zwierzątko, zestaw z lalką i akcesoriami;Lalki/Lalki celebrytki;54.99;45.07;"Ruszaj ku kempingowej przygodzie z lalkami Skipper i Stacie (sprzedawane oddzielnie) inspirowanymi hitowym serialem Barbie ""It Takes Two - My dwie"". W zestawie z lalką Skipper są króliczek i akcesoria kempingowe, takie jak ""ognisko"", kolba kukurydzy, kubki i garnek. Lalka nosi kolorowe stroje biwakowe, a w zestawie są naklejki, których można używać do personalizacji akcesoriów dla lalek! Dzięki licznym akcesoriom i możliwościom opowiadania historii ten zestaw do zabawy Barbie to wspaniały prezent dla dzieci w wieku od 3 do 7 lat, zwłaszcza dla tych, które uwielbiają wypoczynek na świeżym powietrzu.  ";500;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-kemping-skipper-i-zwierzatko-zestaw-z-lalka-i-akcesoriami-7106865.jpg
1;Mermaze Mermaidz, Theme Doll, Gwen, lalka modowa zmieniająca kolor;Lalki/Lalki celebrytki;129.99;106.55;Na fali, w toni oceanu, głęboko pod wodą… Płyń za bajecznymi płetwami Mermaze, aby odkryć coś niesamowitego! Czy wiesz, że syreny są takie jak my? Uwielbiają odkrywać nowe miejsca i nawiązywać nowe przyjaźnie! Te syrenki mają wyjątkowe ogony wypełnione wodą i brokatem. Mają też nową, fantastyczną funkcję — zmieniają kolor! Ogon zmienia kolor po zanurzeniu w wodzie! Te syrenki mają również wyjątkowe płetwy i przyjemne w dotyku ubrania! Charakterystyka produktów:  Lalki syrenki do przebierania z miłą w dotyku odzieżą, akcesoriami i nowym ogonem, który zmienia kolor 3 nowe postacie i powrót 2 ulubionych postaci Nowy kształt płetwy Ogon jest wypełniony wodą i brokatem dla zapewnienia hipnotyzującego efektu Ogon zmienia kolor po zanurzeniu w wodzie Unikalny, formowany, ozdobny ogon ma przeguby w talii i przy płetwie Przepiękne szklane oczy Długie, kolorowe włosy, które można czesać Zdejmowana kurtka i top Torebka i biżuteria Stojak na lalkę  ;500;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/mermaze-mermaidz-theme-doll-gwen-lalka-modowa-zmieniajaca-kolor-7331450.jpg
1;Barbie, Koniki, Stylizacja i opieka, zestaw z lalką i akcesoriami;Lalki/Lalki celebrytki;179.99;147.53;"Daj się zainspirować do zabawy w opiekę, stylizację i przyjaźń z tym zestawem z lalką Barbie, dwoma konikami i mnóstwem akcesoriów. Zestaw do zabawy Barbie Koniki Stylizacja i opieka obejmuje ogrodzenie z poidłem, prysznicem i stanowiskiem do pielęgnowania koni. Wyszczotkuj grzywy obu koników, a potem użyj zimnej wody, aby odkryć kolorowe pasemka Gdy chcesz wrócić do poprzedniego koloru, wykorzystaj ciepłą wodę - tę transformację możesz powtarzać tyle razy, ile chcesz. Przystrój grzywy doczepianymi pasemkami lub kwiatową koroną, a potem użyj specjalnego przyrządu do stylizacji, aby ozdobić grzywę konia lub włosy lalki uroczymi motylkowymi spinkami. Gdy skończysz stylizację, pomóż Barbie ""karmić"" konie ""marchewkami"" - aby ułatwić to zadanie, koniki mają ruchome głowy. Po przekąsce możesz też zgiąć nogi lalki w kolanach i posadzić ją w siodle, aby pogalopować ku przygodzie. Z lalką Barbie, dwoma konikami i ponad 20 akcesoriami tematycznymi masz nieograniczone możliwości opowiadania historyjek Informacje dodatkowe:  Lalka nie stoi samodzielnie. Kolory i elementy dekoracyjne mogą się różnić. Wiek dziecka:  od 3 lat.  ";500;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-koniki-stylizacja-i-opieka-zestaw-z-lalka-i-akcesoriami-6981534.jpg
1;Rainbow Vision, Rainbow High, Sabrina St. Cloud, lalka modowa;Lalki/Lalki celebrytki;299.99;245.89;Najlepsze z najlepszych szkół artystycznych z całego świata biorą udział w elitarnym wydarzeniu. Setki kandydatów pokażą swój prawdziwy talent! 3 nowe lalki do przebierania z nowym motywem Piękna, w pełni przegubowa lalka do przebierania Długie włosy do czesania plus akcesoria do włosów i grzebień W zestawie:  lalka Sabrina 2 stroje stylistki akcesoria modowe (kolczyki, buty…) akcesoria pasujące do motywu stojak na lalkę  ;500;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-vision-rainbow-high-sabrina-st-cloud-lalka-modowa-7297478.jpg
1;Rainbow High, Vision Shadow High, Uma Van Hoose, lalka modowa;Lalki/Lalki celebrytki;179.99;147.53;Najlepsze z najlepszych szkół artystycznych z całego świata biorą udział w elitarnym wydarzeniu. Setki kandydatów pokażą swój prawdziwy talent! 3 nowe lalki do przebierania z nowym motywem muzycznym. Lalki ze szkoły Shadow High - zespół Neon Shadow Piękna, w pełni przegubowa lalka do przebierania Długie włosy do czesania plus akcesoria do włosów i grzebień W zestawie:  lalka Uma Van Hoose 2 stroje stylistki w zestawie akcesoria modowe (kolczyki, kapelusz / opaska na głowę, buty…) akcesoria pasujące do motywu stojak na lalkę Zbierz wszystkie 3:  Mara Pinkett, Harley Limestone  ;500;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-vision-shadow-high-uma-van-hoose-lalka-modowa-7295594.jpg
1;Mermaze Mermaidz, Syrenka Orra, lalka modowa, zmieniająca kolor;Lalki/Lalki celebrytki;139.99;114.75;Na fali, w toni oceanu, głęboko pod wodą... Płyń za bajecznymi płetwami Mermaze, aby odkryć coś niesamowitego! Czy wiesz, że syreny są takie jak my? Uwielbiają muzykę, modę, sport, gry i wiele innych rzeczy! Każda postać Mermaze ma inną pasję wyrażoną przez jej własny styl. Każda ma zmieniający kolor, rzeźbiony ogon z detalami i kolorowe włosy. Syreni ogon pełni także funkcję stojaka! Baw się nimi w wodzie i na lądzie! Zestaw zawiera lalkę Orra, 4 brokatowe żele do włosów, 5 spinek do włosów i pędzelek, dzięki którym stworzysz wiele pięknych fryzur na długich, falujących i kolorowych  włosach. Możesz również upodobnić się do syreny, użyć brokatowego żelu na swoich włosach, zmyć go i użyć ponownie. Syrena Orra ma również piękne błyszczące oczy i prawdziwe, długie rzęsy. Błyszczy się i mieni w cieniu, budząc ciekawość i zainteresowanie. Jest wręcz hipnotyzująca i tworzy własny rytm fal. Aby zmienić kolor ogona, polej lalkę lodowatą wodą lub zanurz ją w pojemniku z wodą. Zestaw idealnie sprawdzi się do zabawy w wodzie i poza nią! Uwaga:  włosy lalki mogą wyglądać inaczej po zanurzeniu w wodzie. Charakterystyka produktów:  5 lalek modowych syrenek z wymiennymi topami. Idealne do zabawy w basenie lub wannie! Cały ogon zmienia kolor po zanurzeniu w wodzie. Unikalne, rzeźbione, dekoracyjne ogony zginają się w pasie i na płetwie. Ogon pełni także funkcję stojaka, więc lalka naprawdę stoi! Przepiękne szklane oczy. Długie, kolorowe włosy, które można czesać. Torebka. Dla dzieci w wieku 4+  ;500;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/mermaze-mermaidz-syrenka-orra-lalka-modowa-zmieniajaca-kolor-7102074.jpg
