name,brand,price,url,image_url
"L.O.L. Surprise, Tweens Doll, Lexi Gurl, laleczka modowa",L.O.L. Surprise,"89,99",/p/lol-surprise-tweens-doll-lexi-gurl-laleczka-modowa-i7161846,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/lol-surprise-tweens-doll-lexi-gurl-laleczka-modowa-7161846.jpg
"Barbie, Klub Opiekunek, zestaw z lalką, figurką i akcesoriami",Barbie,"39,99",/p/barbie-klub-opiekunek-zestaw-z-lalka-figurka-i-akcesoriami-i6933016,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-klub-opiekunek-zestaw-z-lalka-figurka-i-akcesoriami-6933016.jpg
"Barbie, Cutie Reveal, lalka lama z akcesoriami, seria 2",Barbie,"109,99",/p/barbie-cutie-reveal-lalka-lama-z-akcesoriami-seria-2-i7232670,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-cutie-reveal-lalka-lama-z-akcesoriami-seria-2-7232670.jpg
"Rainbow High, Sheryl Meyer Marigold, lalka modowa",Rainbow High,"119,99",/p/rainbow-high-sheryl-meyer-marigold-lalka-modowa-i7030593,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-sheryl-meyer-marigold-lalka-modowa-7030593.jpg
"Rainbow High, Junior High, Jade Hunter, lalka modowa",Rainbow High,"92,99",/p/rainbow-high-junior-high-jade-hunter-lalka-modowa-i7128302,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-junior-high-jade-hunter-lalka-modowa-7128302.jpg
"Rainbow High, Junior High, Poppy Rowan, lalka modowa",Rainbow High,"96,99",/p/rainbow-high-junior-high-poppy-rowan-lalka-modowa-i7128304,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-junior-high-poppy-rowan-lalka-modowa-7128304.jpg
"Enchantimals, Przejażdżka po mieście, zestaw z lalkami i zwierzątkami",Enchantimals,"129,99",/p/enchantimals-przejazdzka-po-miescie-zestaw-z-lalkami-i-zwierzatkami-i7271813,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/enchantimals-przejazdzka-po-miescie-zestaw-z-lalkami-i-zwierzatkami-7271813.jpg
"Barbie, Color Reveal, Słońce i deszcz, lalka Chelsea, 1 szt.",Barbie,"48,99",/p/barbie-color-reveal-slonce-i-deszcz-lalka-chelsea-1-szt-i7223456,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-color-reveal-slonce-i-deszcz-lalka-chelsea-1-szt-7223456.jpg
"L.O.L. Surprise, O.M.G. Queens, Sways, laleczka modowa",L.O.L. Surprise,"99,99",/p/lol-surprise-omg-queens-sways-laleczka-modowa-i7134477,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/lol-surprise-omg-queens-sways-laleczka-modowa-7134477.jpg
"Barbie, Extra Moda, lalka ze zwierzątkiem #11",Barbie,"73,99",/p/barbie-extra-moda-lalka-ze-zwierzatkiem-11-i7143157,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-extra-moda-lalka-ze-zwierzatkiem-11-7143157.jpg
"Rainbow High, Junior High, Ruby Anderson, lalka modowa",Rainbow High,"96,99",/p/rainbow-high-junior-high-ruby-anderson-lalka-modowa-i7128306,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-junior-high-ruby-anderson-lalka-modowa-7128306.jpg
